CustomerID,Country,ValidFrom,ValidTo,IsCurrent,CustomerKey_SCD2
17850.0,United Kingdom,2010-01-01,2099-12-31,True,1
13047.0,United Kingdom,2010-01-01,2099-12-31,True,2
12583.0,France,2010-01-01,2099-12-31,True,3
13748.0,United Kingdom,2010-01-01,2099-12-31,True,4
15100.0,United Kingdom,2010-01-01,2099-12-31,True,5
15291.0,United Kingdom,2010-01-01,2099-12-31,True,6
14688.0,United Kingdom,2010-01-01,2099-12-31,True,7
17809.0,United Kingdom,2010-01-01,2099-12-31,True,8
15311.0,United Kingdom,2010-01-01,2099-12-31,True,9
16098.0,United Kingdom,2010-01-01,2099-12-31,True,10
18074.0,United Kingdom,2010-01-01,2099-12-31,True,11
17420.0,United Kingdom,2010-01-01,2099-12-31,True,12
16029.0,United Kingdom,2010-01-01,2099-12-31,True,13
16250.0,United Kingdom,2010-01-01,2099-12-31,True,14
12431.0,Australia,2010-01-01,2099-12-31,True,15
17511.0,United Kingdom,2010-01-01,2099-12-31,True,16
13705.0,United Kingdom,2010-01-01,2099-12-31,True,17
13747.0,United Kingdom,2010-01-01,2099-12-31,True,18
13408.0,United Kingdom,2010-01-01,2099-12-31,True,19
13767.0,United Kingdom,2010-01-01,2099-12-31,True,20
17924.0,United Kingdom,2010-01-01,2099-12-31,True,21
13448.0,United Kingdom,2010-01-01,2099-12-31,True,22
15862.0,United Kingdom,2010-01-01,2099-12-31,True,23
15513.0,United Kingdom,2010-01-01,2099-12-31,True,24
12791.0,Netherlands,2010-01-01,2099-12-31,True,25
16218.0,United Kingdom,2010-01-01,2099-12-31,True,26
14045.0,United Kingdom,2010-01-01,2099-12-31,True,27
14307.0,United Kingdom,2010-01-01,2099-12-31,True,28
17908.0,United Kingdom,2010-01-01,2099-12-31,True,29
17920.0,United Kingdom,2010-01-01,2099-12-31,True,30
12838.0,United Kingdom,2010-01-01,2099-12-31,True,31
13255.0,United Kingdom,2010-01-01,2099-12-31,True,32
16583.0,United Kingdom,2010-01-01,2099-12-31,True,33
18085.0,United Kingdom,2010-01-01,2099-12-31,True,34
13758.0,United Kingdom,2010-01-01,2099-12-31,True,35
13694.0,United Kingdom,2010-01-01,2099-12-31,True,36
15983.0,United Kingdom,2010-01-01,2099-12-31,True,37
14849.0,United Kingdom,2010-01-01,2099-12-31,True,38
17968.0,United Kingdom,2010-01-01,2099-12-31,True,39
16210.0,United Kingdom,2010-01-01,2099-12-31,True,40
17897.0,United Kingdom,2010-01-01,2099-12-31,True,41
17377.0,United Kingdom,2010-01-01,2099-12-31,True,42
16552.0,United Kingdom,2010-01-01,2099-12-31,True,43
17181.0,United Kingdom,2010-01-01,2099-12-31,True,44
17951.0,United Kingdom,2010-01-01,2099-12-31,True,45
14729.0,United Kingdom,2010-01-01,2099-12-31,True,46
12748.0,United Kingdom,2010-01-01,2099-12-31,True,47
15012.0,United Kingdom,2010-01-01,2099-12-31,True,48
12868.0,United Kingdom,2010-01-01,2099-12-31,True,49
17572.0,United Kingdom,2010-01-01,2099-12-31,True,50
14078.0,United Kingdom,2010-01-01,2099-12-31,True,51
14001.0,United Kingdom,2010-01-01,2099-12-31,True,52
12662.0,Germany,2010-01-01,2099-12-31,True,53
15525.0,United Kingdom,2010-01-01,2099-12-31,True,54
14237.0,United Kingdom,2010-01-01,2099-12-31,True,55
17905.0,United Kingdom,2010-01-01,2099-12-31,True,56
15485.0,United Kingdom,2010-01-01,2099-12-31,True,57
12433.0,Norway,2010-01-01,2099-12-31,True,58
16955.0,United Kingdom,2010-01-01,2099-12-31,True,59
15350.0,United Kingdom,2010-01-01,2099-12-31,True,60
15605.0,United Kingdom,2010-01-01,2099-12-31,True,61
18144.0,United Kingdom,2010-01-01,2099-12-31,True,62
15922.0,United Kingdom,2010-01-01,2099-12-31,True,63
14594.0,United Kingdom,2010-01-01,2099-12-31,True,64
15165.0,United Kingdom,2010-01-01,2099-12-31,True,65
14911.0,EIRE,2010-01-01,2099-12-31,True,66
16456.0,United Kingdom,2010-01-01,2099-12-31,True,67
17346.0,United Kingdom,2010-01-01,2099-12-31,True,68
17643.0,United Kingdom,2010-01-01,2099-12-31,True,69
17841.0,United Kingdom,2010-01-01,2099-12-31,True,70
17873.0,United Kingdom,2010-01-01,2099-12-31,True,71
13093.0,United Kingdom,2010-01-01,2099-12-31,True,72
12921.0,United Kingdom,2010-01-01,2099-12-31,True,73
13468.0,United Kingdom,2010-01-01,2099-12-31,True,74
17760.0,United Kingdom,2010-01-01,2099-12-31,True,75
16928.0,United Kingdom,2010-01-01,2099-12-31,True,76
16048.0,United Kingdom,2010-01-01,2099-12-31,True,77
16274.0,United Kingdom,2010-01-01,2099-12-31,True,78
14496.0,United Kingdom,2010-01-01,2099-12-31,True,79
14696.0,United Kingdom,2010-01-01,2099-12-31,True,80
16539.0,United Kingdom,2010-01-01,2099-12-31,True,81
17025.0,United Kingdom,2010-01-01,2099-12-31,True,82
13777.0,United Kingdom,2010-01-01,2099-12-31,True,83
17690.0,United Kingdom,2010-01-01,2099-12-31,True,84
12947.0,United Kingdom,2010-01-01,2099-12-31,True,85
17460.0,United Kingdom,2010-01-01,2099-12-31,True,86
18229.0,United Kingdom,2010-01-01,2099-12-31,True,87
14142.0,United Kingdom,2010-01-01,2099-12-31,True,88
17069.0,United Kingdom,2010-01-01,2099-12-31,True,89
13065.0,United Kingdom,2010-01-01,2099-12-31,True,90
14606.0,United Kingdom,2010-01-01,2099-12-31,True,91
16835.0,United Kingdom,2010-01-01,2099-12-31,True,92
15235.0,United Kingdom,2010-01-01,2099-12-31,True,93
13576.0,United Kingdom,2010-01-01,2099-12-31,True,94
18011.0,United Kingdom,2010-01-01,2099-12-31,True,95
13090.0,United Kingdom,2010-01-01,2099-12-31,True,96
15694.0,United Kingdom,2010-01-01,2099-12-31,True,97
14741.0,United Kingdom,2010-01-01,2099-12-31,True,98
13715.0,United Kingdom,2010-01-01,2099-12-31,True,99
17732.0,United Kingdom,2010-01-01,2099-12-31,True,100
12855.0,United Kingdom,2010-01-01,2099-12-31,True,101
15752.0,United Kingdom,2010-01-01,2099-12-31,True,102
17855.0,United Kingdom,2010-01-01,2099-12-31,True,103
14047.0,United Kingdom,2010-01-01,2099-12-31,True,104
17925.0,United Kingdom,2010-01-01,2099-12-31,True,105
13941.0,United Kingdom,2010-01-01,2099-12-31,True,106
17017.0,United Kingdom,2010-01-01,2099-12-31,True,107
14135.0,United Kingdom,2010-01-01,2099-12-31,True,108
13108.0,United Kingdom,2010-01-01,2099-12-31,True,109
15601.0,United Kingdom,2010-01-01,2099-12-31,True,110
13418.0,United Kingdom,2010-01-01,2099-12-31,True,111
15658.0,United Kingdom,2010-01-01,2099-12-31,True,112
14388.0,United Kingdom,2010-01-01,2099-12-31,True,113
14901.0,United Kingdom,2010-01-01,2099-12-31,True,114
18041.0,United Kingdom,2010-01-01,2099-12-31,True,115
15955.0,United Kingdom,2010-01-01,2099-12-31,True,116
15070.0,United Kingdom,2010-01-01,2099-12-31,True,117
16244.0,United Kingdom,2010-01-01,2099-12-31,True,118
15111.0,United Kingdom,2010-01-01,2099-12-31,True,119
14390.0,United Kingdom,2010-01-01,2099-12-31,True,120
16546.0,United Kingdom,2010-01-01,2099-12-31,True,121
15260.0,United Kingdom,2010-01-01,2099-12-31,True,122
13305.0,United Kingdom,2010-01-01,2099-12-31,True,123
14491.0,United Kingdom,2010-01-01,2099-12-31,True,124
14060.0,United Kingdom,2010-01-01,2099-12-31,True,125
15923.0,United Kingdom,2010-01-01,2099-12-31,True,126
16752.0,United Kingdom,2010-01-01,2099-12-31,True,127
17287.0,United Kingdom,2010-01-01,2099-12-31,True,128
15363.0,United Kingdom,2010-01-01,2099-12-31,True,129
12915.0,United Kingdom,2010-01-01,2099-12-31,True,130
15544.0,United Kingdom,2010-01-01,2099-12-31,True,131
15738.0,United Kingdom,2010-01-01,2099-12-31,True,132
17381.0,United Kingdom,2010-01-01,2099-12-31,True,133
15827.0,United Kingdom,2010-01-01,2099-12-31,True,134
14180.0,United Kingdom,2010-01-01,2099-12-31,True,135
13117.0,United Kingdom,2010-01-01,2099-12-31,True,136
16916.0,United Kingdom,2010-01-01,2099-12-31,True,137
17964.0,United Kingdom,2010-01-01,2099-12-31,True,138
14466.0,United Kingdom,2010-01-01,2099-12-31,True,139
17235.0,United Kingdom,2010-01-01,2099-12-31,True,140
16510.0,United Kingdom,2010-01-01,2099-12-31,True,141
17802.0,United Kingdom,2010-01-01,2099-12-31,True,142
15107.0,United Kingdom,2010-01-01,2099-12-31,True,143
17976.0,United Kingdom,2010-01-01,2099-12-31,True,144
14449.0,United Kingdom,2010-01-01,2099-12-31,True,145
16781.0,United Kingdom,2010-01-01,2099-12-31,True,146
13491.0,United Kingdom,2010-01-01,2099-12-31,True,147
16186.0,United Kingdom,2010-01-01,2099-12-31,True,148
17685.0,United Kingdom,2010-01-01,2099-12-31,True,149
17581.0,United Kingdom,2010-01-01,2099-12-31,True,150
15732.0,United Kingdom,2010-01-01,2099-12-31,True,151
13138.0,United Kingdom,2010-01-01,2099-12-31,True,152
15823.0,United Kingdom,2010-01-01,2099-12-31,True,153
17567.0,United Kingdom,2010-01-01,2099-12-31,True,154
15061.0,United Kingdom,2010-01-01,2099-12-31,True,155
16203.0,United Kingdom,2010-01-01,2099-12-31,True,156
15640.0,United Kingdom,2010-01-01,2099-12-31,True,157
15574.0,United Kingdom,2010-01-01,2099-12-31,True,158
16770.0,United Kingdom,2010-01-01,2099-12-31,True,159
17838.0,United Kingdom,2010-01-01,2099-12-31,True,160
17228.0,United Kingdom,2010-01-01,2099-12-31,True,161
14829.0,United Kingdom,2010-01-01,2099-12-31,True,162
17412.0,United Kingdom,2010-01-01,2099-12-31,True,163
14031.0,United Kingdom,2010-01-01,2099-12-31,True,164
14775.0,United Kingdom,2010-01-01,2099-12-31,True,165
12971.0,United Kingdom,2010-01-01,2099-12-31,True,166
17659.0,United Kingdom,2010-01-01,2099-12-31,True,167
15299.0,United Kingdom,2010-01-01,2099-12-31,True,168
15646.0,United Kingdom,2010-01-01,2099-12-31,True,169
13402.0,United Kingdom,2010-01-01,2099-12-31,True,170
17757.0,United Kingdom,2010-01-01,2099-12-31,True,171
13011.0,United Kingdom,2010-01-01,2099-12-31,True,172
13798.0,United Kingdom,2010-01-01,2099-12-31,True,173
16754.0,United Kingdom,2010-01-01,2099-12-31,True,174
16634.0,United Kingdom,2010-01-01,2099-12-31,True,175
