ProductKey,CustomerKey,DateKey,InvoiceKey,Quantity,Revenue,UnitPrice
1,1,20101201,1,6,15.299999999999999,2.55
2,1,20101201,1,6,20.34,3.39
3,1,20101201,1,8,22.0,2.75
4,1,20101201,1,6,20.34,3.39
5,1,20101201,1,6,20.34,3.39
6,1,20101201,1,2,15.3,7.65
7,1,20101201,1,6,25.5,4.25
8,1,20101201,2,6,11.100000000000001,1.85
9,1,20101201,2,6,11.100000000000001,1.85
10,2,20101201,3,32,54.08,1.69
11,2,20101201,3,6,12.600000000000001,2.1
12,2,20101201,3,6,12.600000000000001,2.1
13,2,20101201,3,8,30.0,3.75
14,2,20101201,3,6,9.899999999999999,1.65
15,2,20101201,3,6,25.5,4.25
16,2,20101201,3,3,14.850000000000001,4.95
17,2,20101201,3,2,19.9,9.95
18,2,20101201,3,3,17.85,5.95
19,2,20101201,3,3,17.85,5.95
20,2,20101201,3,4,31.8,7.95
21,2,20101201,3,4,31.8,7.95
22,2,20101201,4,6,25.5,4.25
23,2,20101201,4,3,14.850000000000001,4.95
24,2,20101201,4,3,14.850000000000001,4.95
25,2,20101201,4,3,14.850000000000001,4.95
26,2,20101201,5,3,17.85,5.95
27,3,20101201,6,24,90.0,3.75
28,3,20101201,6,24,90.0,3.75
29,3,20101201,6,12,45.0,3.75
30,3,20101201,6,12,10.2,0.85
31,3,20101201,6,24,15.600000000000001,0.65
32,3,20101201,6,48,40.8,0.85
33,3,20101201,6,24,30.0,1.25
34,3,20101201,6,18,53.1,2.95
35,3,20101201,6,24,70.80000000000001,2.95
36,3,20101201,6,24,46.8,1.95
37,3,20101201,6,24,46.8,1.95
38,3,20101201,6,24,46.8,1.95
39,3,20101201,6,20,17.0,0.85
40,3,20101201,6,24,39.599999999999994,1.65
41,3,20101201,6,24,70.80000000000001,2.95
42,3,20101201,6,12,45.0,3.75
43,3,20101201,6,24,10.08,0.42
44,3,20101201,6,24,10.08,0.42
45,3,20101201,6,36,23.400000000000002,0.65
46,3,20101201,6,3,54.0,18.0
47,4,20101201,7,80,204.0,2.55
9,1,20101201,8,6,11.100000000000001,1.85
8,1,20101201,8,6,11.100000000000001,1.85
1,1,20101201,9,6,15.299999999999999,2.55
2,1,20101201,9,6,20.34,3.39
3,1,20101201,9,8,22.0,2.75
48,1,20101201,9,6,29.700000000000003,4.95
49,1,20101201,9,6,6.36,1.06
50,1,20101201,9,6,6.36,1.06
51,1,20101201,9,6,6.36,1.06
52,1,20101201,9,6,6.36,1.06
53,1,20101201,9,2,9.9,4.95
54,1,20101201,9,4,27.8,6.95
55,1,20101201,9,6,12.600000000000001,2.1
56,1,20101201,9,6,15.299999999999999,2.55
4,1,20101201,9,6,20.34,3.39
5,1,20101201,9,6,20.34,3.39
6,1,20101201,9,2,15.3,7.65
7,1,20101201,9,6,25.5,4.25
57,5,20101201,10,32,350.4,10.95
1,1,20101201,11,6,15.299999999999999,2.55
2,1,20101201,11,6,20.34,3.39
3,1,20101201,11,8,22.0,2.75
48,1,20101201,11,6,29.700000000000003,4.95
49,1,20101201,11,6,6.36,1.06
50,1,20101201,11,6,6.36,1.06
51,1,20101201,11,6,6.36,1.06
52,1,20101201,11,6,6.36,1.06
53,1,20101201,11,2,9.9,4.95
54,1,20101201,11,4,27.8,6.95
55,1,20101201,11,6,12.600000000000001,2.1
56,1,20101201,11,6,15.299999999999999,2.55
4,1,20101201,11,6,20.34,3.39
5,1,20101201,11,6,20.34,3.39
6,1,20101201,11,2,15.3,7.65
7,1,20101201,11,6,25.5,4.25
58,6,20101201,12,48,165.60000000000002,3.45
59,6,20101201,12,64,163.2,2.55
9,1,20101201,13,6,11.100000000000001,1.85
8,1,20101201,13,6,11.100000000000001,1.85
60,7,20101201,14,10,19.5,1.95
61,7,20101201,14,10,19.5,1.95
62,7,20101201,14,10,29.5,2.95
63,7,20101201,14,10,8.5,0.85
64,7,20101201,14,12,45.0,3.75
65,7,20101201,14,6,22.5,3.75
66,7,20101201,14,12,10.2,0.85
67,7,20101201,14,10,16.5,1.65
68,7,20101201,14,6,15.299999999999999,2.55
69,7,20101201,14,6,15.299999999999999,2.55
70,7,20101201,14,120,50.4,0.42
71,7,20101201,14,24,13.200000000000001,0.55
72,7,20101201,14,24,13.200000000000001,0.55
73,7,20101201,14,24,13.200000000000001,0.55
74,7,20101201,14,6,17.700000000000003,2.95
75,7,20101201,14,48,60.0,1.25
76,7,20101201,14,96,36.480000000000004,0.38
77,7,20101201,14,10,19.5,1.95
78,7,20101201,14,10,19.5,1.95
79,8,20101201,15,24,34.8,1.45
80,9,20101201,16,23,97.75,4.25
81,9,20101201,16,5,24.75,4.95
82,9,20101201,16,10,19.5,1.95
83,9,20101201,16,2,4.2,2.1
84,9,20101201,16,6,7.5,1.25
85,9,20101201,16,24,30.0,1.25
86,9,20101201,16,24,30.0,1.25
87,9,20101201,16,1,1.25,1.25
88,9,20101201,16,1,0.85,0.85
89,9,20101201,16,1,2.55,2.55
90,9,20101201,16,10,16.5,1.65
91,9,20101201,16,3,5.07,1.69
92,9,20101201,16,1,1.95,1.95
93,9,20101201,16,2,4.2,2.1
94,9,20101201,16,1,2.95,2.95
95,9,20101201,16,1,2.95,2.95
47,9,20101201,16,4,11.8,2.95
96,9,20101201,16,1,2.95,2.95
97,9,20101201,16,6,5.1,0.85
87,9,20101201,16,3,3.75,1.25
98,9,20101201,16,2,5.1,2.55
99,9,20101201,16,1,0.85,0.85
100,9,20101201,16,1,0.85,0.85
101,9,20101201,16,1,1.45,1.45
102,9,20101201,16,1,4.95,4.95
103,9,20101201,16,2,5.9,2.95
104,9,20101201,16,2,11.9,5.95
105,9,20101201,16,2,11.9,5.95
106,9,20101201,16,4,5.8,1.45
107,9,20101201,16,1,2.95,2.95
108,9,20101201,16,1,1.95,1.95
40,9,20101201,16,2,3.3,1.65
109,9,20101201,16,3,11.850000000000001,3.95
110,9,20101201,16,36,38.160000000000004,1.06
111,9,20101201,16,10,67.5,6.75
32,10,20101201,17,12,10.2,0.85
112,10,20101201,17,8,30.0,3.75
113,10,20101201,17,12,19.799999999999997,1.65
82,10,20101201,17,10,19.5,1.95
114,10,20101201,17,10,21.0,2.1
115,10,20101201,17,50,92.5,1.85
116,10,20101201,17,8,23.6,2.95
29,10,20101201,17,4,15.0,3.75
117,10,20101201,17,12,71.4,5.95
118,10,20101201,17,2,29.9,14.95
119,10,20101201,17,2,29.9,14.95
120,10,20101201,17,4,67.8,16.95
121,11,20101201,18,3,19.35,6.45
122,11,20101201,18,48,31.200000000000003,0.65
123,11,20101201,18,12,19.799999999999997,1.65
124,11,20101201,18,6,17.700000000000003,2.95
125,11,20101201,18,12,35.400000000000006,2.95
126,11,20101201,18,40,58.0,1.45
127,11,20101201,18,40,102.0,2.55
128,11,20101201,18,6,17.700000000000003,2.95
129,11,20101201,18,2,25.5,12.75
130,11,20101201,18,4,15.8,3.95
131,11,20101201,18,3,17.85,5.95
132,11,20101201,18,6,41.7,6.95
133,11,20101201,18,8,87.6,10.95
120,12,20101201,19,1,19.95,19.95
79,12,20101201,19,12,17.4,1.45
22,12,20101201,19,6,25.5,4.25
134,12,20101201,19,10,19.5,1.95
135,12,20101201,19,12,15.0,1.25
136,12,20101201,19,2,17.0,8.5
137,12,20101201,19,10,16.5,1.65
138,13,20101201,20,36,178.20000000000002,4.95
61,13,20101201,20,100,165.0,1.65
139,13,20101201,20,100,165.0,1.65
140,13,20101201,21,192,733.4399999999999,3.82
141,13,20101201,21,192,647.04,3.37
142,13,20101201,21,192,647.04,3.37
143,13,20101201,21,432,626.4,1.45
40,13,20101201,21,432,540.0,1.25
18,14,20101201,22,3,17.85,5.95
19,14,20101201,22,3,17.85,5.95
111,14,20101201,22,2,15.9,7.95
144,14,20101201,22,3,14.850000000000001,4.95
145,14,20101201,22,3,12.75,4.25
146,14,20101201,22,6,17.700000000000003,2.95
123,14,20101201,22,12,19.799999999999997,1.65
147,14,20101201,22,12,5.04,0.42
148,14,20101201,22,12,10.2,0.85
149,14,20101201,22,12,17.4,1.45
150,14,20101201,22,12,10.2,0.85
151,14,20101201,22,4,27.0,6.75
126,14,20101201,22,12,19.799999999999997,1.65
152,14,20101201,22,12,19.799999999999997,1.65
153,15,20101201,23,6,51.0,8.5
154,15,20101201,23,8,39.6,4.95
33,15,20101201,23,12,15.0,1.25
155,15,20101201,23,6,32.7,5.45
156,15,20101201,23,4,25.4,6.35
157,15,20101201,23,6,35.7,5.95
158,15,20101201,23,3,17.85,5.95
159,15,20101201,23,2,17.0,8.5
29,15,20101201,23,4,15.0,3.75
28,15,20101201,23,4,15.0,3.75
160,15,20101201,23,2,17.0,8.5
161,15,20101201,23,2,17.0,8.5
162,15,20101201,23,24,39.599999999999994,1.65
163,15,20101201,23,24,20.4,0.85
153,16,20101201,24,2,17.0,8.5
22,16,20101201,24,12,45.0,3.75
79,16,20101201,24,12,17.4,1.45
164,16,20101201,24,48,34.56,0.72
165,16,20101201,24,48,34.56,0.72
166,16,20101201,24,8,68.0,8.5
167,16,20101201,24,144,92.16,0.64
168,16,20101201,24,40,102.0,2.55
169,16,20101201,24,288,28.8,0.1
1,16,20101201,24,64,163.2,2.55
170,16,20101201,24,100,72.0,0.72
171,16,20101201,24,50,72.5,1.45
102,16,20101201,24,12,51.0,4.25
172,16,20101201,24,96,61.44,0.64
66,16,20101201,24,96,61.44,0.64
